input_name,brand_name,labeler_name,ndc11,ndc_description,pricing_unit,nadac_per_unit_2025,nadac_per_unit_2024,nadac_per_unit_2023,nadac_per_unit_2022
adalimumab-adbm,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597056520,,,,,,
adalimumab-adbm,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597057550,ADALIMUMAB-ADBM(CF) PEN 40 MG/0.4 ML,EA,636.03667,,,
adalimumab-adbm,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597058589,,,,,,
adalimumab-adbm,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597059520,,,,,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037045,,,,,,
adalimumab-adbm,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597037082,,,,,,
adalimumab-afzb,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00069032501,,,,,,
adalimumab-afzb,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00069032502,,,,,,
adalimumab-afzb,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00025032802,,,,,,
adalimumab-afzb,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00069032802,,,,,,
